id,employee_code,employee_name,age,gender,city,department,job_role,education,employment_type,joining_date,experience_years,salary,performance_rating,projects_completed,status
107,EMP00107,Employee_00107,35,Female,Vijayawada,IT,Developer,MBA,Part-Time,2021-03-22,4,76077,4.8,0,Inactive
108,EMP00108,Employee_00108,36,Female,Kochi,Finance,Analyst,B.Sc,Part-Time,2021-03-18,4,134277,2.2,1,On Leave
109,EMP00109,Employee_00109,38,Female,Vijayawada,Support,Analyst,M.Tech,Full-Time,2026-07-25,0,103245,3.1,9,On Leave
110,EMP00110,Employee_00110,44,Female,Delhi,Admin,HR Executive,MBA,Contract,2026-03-08,0,74367,3.3,3,Active
111,EMP00111,Employee_00111,34,Male,Vijayawada,HR,Analyst,B.Tech,Full-Time,2023-07-04,2,99926,4.0,5,Inactive
112,EMP00112,Employee_00112,44,Male,Kochi,Operations,Analyst,MBA,Part-Time,2021-01-30,4,115687,4.4,8,On Leave
113,EMP00113,Employee_00113,44,Female,Delhi,HR,Executive,B.Sc,Contract,2024-09-28,1,31486,4.9,9,Inactive
114,EMP00114,Employee_00114,24,Male,Mumbai,Sales,HR Executive,MCA,Contract,2022-07-07,3,109780,4.5,5,On Leave
115,EMP00115,Employee_00115,21,Female,Delhi,Operations,Developer,B.Sc,Full-Time,2026-03-30,0,88109,2.1,4,On Leave
116,EMP00116,Employee_00116,23,Male,Kolkata,Sales,HR Executive,MBA,Part-Time,2024-06-29,1,55191,4.2,0,Inactive
117,EMP00117,Employee_00117,32,Male,Hyderabad,Finance,Manager,MCA,Full-Time,2021-10-06,4,99693,4.2,12,On Leave
118,EMP00118,Employee_00118,29,Female,Guntur,Marketing,Executive,MCA,Full-Time,2020-11-30,5,134159,4.0,7,Inactive
119,EMP00119,Employee_00119,24,Female,Kolkata,Marketing,Developer,B.Sc,Part-Time,2024-10-26,1,92251,4.0,9,On Leave
120,EMP00120,Employee_00120,21,Male,Mumbai,Marketing,Support Engineer,B.Tech,Full-Time,2020-08-12,5,71588,2.9,3,Inactive
121,EMP00121,Employee_00121,26,Male,Kolkata,Operations,Analyst,MBA,Contract,2024-10-29,1,51865,3.1,11,Active
122,EMP00122,Employee_00122,21,Female,Kochi,Support,HR Executive,B.Com,Full-Time,2024-11-21,1,138521,4.8,5,Inactive
123,EMP00123,Employee_00123,31,Female,Delhi,HR,HR Executive,B.Tech,Full-Time,2020-03-26,5,63055,4.4,9,Inactive
124,EMP00124,Employee_00124,37,Female,Pune,Operations,Manager,B.Tech,Contract,2024-06-28,1,38616,3.2,4,On Leave
125,EMP00125,Employee_00125,37,Female,Chennai,Sales,Analyst,B.Sc,Part-Time,2021-04-12,4,68830,4.7,5,Active
126,EMP00126,Employee_00126,40,Male,Chennai,Admin,Accountant,MCA,Contract,2021-12-11,4,58073,4.3,10,Inactive
127,EMP00127,Employee_00127,41,Female,Chennai,Admin,Analyst,MBA,Part-Time,2026-05-01,0,102727,4.6,10,On Leave
128,EMP00128,Employee_00128,29,Female,Vijayawada,Admin,Developer,B.Tech,Part-Time,2023-05-25,2,32725,3.1,1,Inactive
129,EMP00129,Employee_00129,41,Female,Vijayawada,IT,Accountant,MCA,Contract,2020-11-10,5,41670,3.8,8,Active
130,EMP00130,Employee_00130,40,Female,Bengaluru,Operations,Analyst,MCA,Contract,2023-08-09,2,142683,3.5,0,Active
131,EMP00131,Employee_00131,28,Male,Delhi,Operations,Tester,MBA,Part-Time,2020-06-09,5,132755,5.0,8,Inactive
132,EMP00132,Employee_00132,41,Female,Mumbai,Marketing,Manager,B.Com,Full-Time,2020-08-02,5,105726,2.2,1,On Leave
133,EMP00133,Employee_00133,32,Female,Chennai,HR,Tester,MCA,Part-Time,2021-08-02,4,99325,4.9,11,On Leave
134,EMP00134,Employee_00134,25,Female,Hyderabad,Operations,Tester,B.Sc,Full-Time,2023-09-07,2,42498,3.9,6,Inactive
135,EMP00135,Employee_00135,27,Male,Mumbai,HR,Developer,M.Tech,Part-Time,2025-06-14,0,77386,5.0,2,On Leave
136,EMP00136,Employee_00136,40,Male,Vijayawada,IT,HR Executive,B.Com,Contract,2021-06-20,4,116754,2.5,2,On Leave
137,EMP00137,Employee_00137,35,Female,Pune,Sales,Tester,MBA,Full-Time,2022-08-30,3,92692,4.3,12,Inactive
138,EMP00138,Employee_00138,35,Female,Kolkata,Support,Manager,B.Sc,Contract,2026-05-25,0,139026,4.3,12,Active
139,EMP00139,Employee_00139,22,Male,Kolkata,HR,Tester,B.Tech,Full-Time,2022-10-21,3,143983,4.6,8,Inactive
140,EMP00140,Employee_00140,37,Male,Vijayawada,Operations,Developer,MBA,Full-Time,2025-01-14,0,56626,4.5,1,Inactive
141,EMP00141,Employee_00141,32,Female,Pune,IT,Support Engineer,B.Tech,Contract,2025-08-18,0,79807,3.2,1,On Leave
142,EMP00142,Employee_00142,25,Male,Vijayawada,Admin,Developer,B.Tech,Full-Time,2023-10-05,2,54070,2.1,7,Inactive
143,EMP00143,Employee_00143,25,Male,Mumbai,HR,Developer,B.Sc,Part-Time,2022-06-02,3,128953,2.3,4,On Leave
144,EMP00144,Employee_00144,23,Male,Kolkata,Sales,Manager,B.Com,Part-Time,2025-02-15,0,47060,4.5,7,Active
145,EMP00145,Employee_00145,28,Male,Kolkata,Operations,Analyst,MCA,Contract,2023-12-16,2,127200,2.6,10,On Leave
146,EMP00146,Employee_00146,38,Male,Guntur,Operations,Tester,M.Tech,Full-Time,2025-09-10,0,23330,3.2,7,Inactive
147,EMP00147,Employee_00147,32,Male,Kochi,Operations,Manager,B.Tech,Part-Time,2020-10-03,5,81209,4.2,10,On Leave
148,EMP00148,Employee_00148,41,Female,Vijayawada,Finance,Manager,B.Tech,Contract,2023-10-18,2,63898,4.5,10,Inactive
149,EMP00149,Employee_00149,30,Male,Delhi,Marketing,HR Executive,MCA,Part-Time,2020-05-31,5,70845,2.1,3,Inactive
150,EMP00150,Employee_00150,45,Male,Delhi,Marketing,Analyst,B.Com,Part-Time,2020-05-29,5,68096,2.9,12,Inactive
151,EMP00151,Employee_00151,33,Female,Delhi,Marketing,Analyst,M.Tech,Part-Time,2024-12-06,1,106876,4.9,7,Active
152,EMP00152,Employee_00152,40,Male,Bengaluru,Operations,Tester,B.Com,Part-Time,2024-10-29,1,65305,3.6,5,On Leave
153,EMP00153,Employee_00153,26,Female,Kochi,Support,Tester,M.Tech,Full-Time,2024-10-11,1,134367,3.1,0,Active
154,EMP00154,Employee_00154,32,Female,Hyderabad,Finance,Analyst,B.Sc,Contract,2024-07-21,1,59939,4.9,2,Inactive
155,EMP00155,Employee_00155,33,Female,Delhi,Operations,Accountant,B.Tech,Contract,2024-01-23,1,26489,3.8,10,Active
156,EMP00156,Employee_00156,32,Male,Bengaluru,IT,Manager,MBA,Contract,2025-12-08,0,122342,2.9,4,Inactive
157,EMP00157,Employee_00157,24,Female,Pune,Marketing,Accountant,B.Sc,Full-Time,2026-04-19,0,86623,4.3,11,Active
158,EMP00158,Employee_00158,35,Male,Delhi,Operations,Analyst,MCA,Contract,2020-10-30,5,63260,4.7,7,Inactive
159,EMP00159,Employee_00159,26,Male,Bengaluru,Sales,Manager,B.Sc,Part-Time,2023-05-13,2,63636,4.4,8,Active
160,EMP00160,Employee_00160,38,Male,Kochi,HR,Analyst,B.Com,Part-Time,2024-01-18,1,114707,3.4,8,On Leave
161,EMP00161,Employee_00161,37,Male,Chennai,Operations,Analyst,MBA,Part-Time,2025-05-14,0,125687,4.3,9,On Leave
162,EMP00162,Employee_00162,32,Male,Chennai,Support,Developer,B.Tech,Contract,2025-10-20,0,51642,4.6,12,Active
163,EMP00163,Employee_00163,26,Male,Delhi,Marketing,Analyst,B.Com,Full-Time,2023-05-30,2,60458,3.0,11,On Leave
164,EMP00164,Employee_00164,29,Male,Kolkata,Finance,Manager,B.Sc,Contract,2026-03-06,0,50812,3.9,9,On Leave
165,EMP00165,Employee_00165,39,Male,Hyderabad,Marketing,Executive,MCA,Part-Time,2023-10-14,2,28798,4.5,0,On Leave
166,EMP00166,Employee_00166,36,Female,Pune,Support,Tester,MBA,Full-Time,2020-05-04,5,93935,3.9,4,On Leave
167,EMP00167,Employee_00167,26,Male,Delhi,Finance,Support Engineer,M.Tech,Part-Time,2020-09-02,5,133239,3.2,7,On Leave
168,EMP00168,Employee_00168,33,Male,Delhi,Sales,Accountant,B.Tech,Part-Time,2023-11-15,2,52279,4.3,8,Inactive
169,EMP00169,Employee_00169,25,Female,Pune,Finance,Support Engineer,MCA,Contract,2022-10-12,3,43378,2.2,6,Inactive
170,EMP00170,Employee_00170,45,Female,Vijayawada,Marketing,Accountant,B.Tech,Full-Time,2022-02-16,3,59770,3.5,8,Inactive
171,EMP00171,Employee_00171,35,Male,Hyderabad,Marketing,Accountant,MCA,Contract,2025-09-01,0,81105,2.6,5,On Leave
172,EMP00172,Employee_00172,30,Male,Mumbai,Operations,HR Executive,B.Com,Full-Time,2025-04-11,0,20143,4.5,6,Inactive
173,EMP00173,Employee_00173,39,Male,Guntur,Admin,Tester,MCA,Contract,2020-07-28,5,69027,3.1,4,On Leave
174,EMP00174,Employee_00174,25,Female,Kolkata,Operations,Manager,B.Sc,Contract,2021-05-01,4,43344,3.2,12,On Leave
175,EMP00175,Employee_00175,37,Female,Vijayawada,Admin,Manager,MCA,Contract,2024-07-02,1,28552,2.1,2,Active
176,EMP00176,Employee_00176,40,Female,Kochi,Operations,Accountant,M.Tech,Contract,2023-09-05,2,101500,2.5,9,Inactive
177,EMP00177,Employee_00177,21,Female,Kochi,Marketing,Developer,MCA,Part-Time,2025-04-29,0,114562,3.0,1,Inactive
178,EMP00178,Employee_00178,39,Female,Chennai,Support,Manager,M.Tech,Full-Time,2026-06-27,0,77649,4.2,9,Active
179,EMP00179,Employee_00179,43,Female,Guntur,Finance,HR Executive,M.Tech,Full-Time,2026-06-03,0,46808,2.6,7,Inactive
180,EMP00180,Employee_00180,45,Male,Chennai,Sales,Support Engineer,M.Tech,Part-Time,2025-08-17,0,141628,4.6,11,On Leave
181,EMP00181,Employee_00181,31,Female,Kolkata,Operations,Tester,MCA,Part-Time,2024-03-23,1,63398,3.4,8,Active
182,EMP00182,Employee_00182,29,Female,Pune,Admin,Support Engineer,MBA,Part-Time,2022-10-06,3,96249,2.7,4,On Leave
183,EMP00183,Employee_00183,30,Female,Guntur,Operations,Manager,B.Com,Full-Time,2023-01-25,2,49948,3.7,8,Inactive
184,EMP00184,Employee_00184,32,Female,Pune,Sales,Tester,MCA,Contract,2020-11-19,5,133966,4.0,11,Inactive
185,EMP00185,Employee_00185,24,Male,Pune,IT,Analyst,MBA,Part-Time,2021-07-16,4,80726,2.7,10,On Leave
186,EMP00186,Employee_00186,24,Male,Guntur,Admin,Accountant,M.Tech,Full-Time,2025-04-18,0,54036,2.0,8,Inactive
187,EMP00187,Employee_00187,30,Male,Kolkata,IT,Manager,MBA,Full-Time,2023-08-08,2,33509,4.7,1,Active
188,EMP00188,Employee_00188,36,Male,Hyderabad,Marketing,Analyst,B.Com,Part-Time,2024-06-14,1,66840,4.8,4,Inactive
189,EMP00189,Employee_00189,37,Female,Mumbai,Sales,Analyst,B.Com,Full-Time,2026-02-03,0,147476,4.7,2,On Leave
190,EMP00190,Employee_00190,41,Female,Mumbai,Sales,Manager,MCA,Contract,2025-02-22,0,85440,4.2,0,Inactive
191,EMP00191,Employee_00191,37,Male,Chennai,Finance,Accountant,B.Com,Full-Time,2024-10-17,1,103964,2.3,10,Active
192,EMP00192,Employee_00192,33,Female,Mumbai,IT,Tester,M.Tech,Part-Time,2022-12-04,3,79740,3.3,4,On Leave
193,EMP00193,Employee_00193,22,Female,Kolkata,Marketing,Analyst,M.Tech,Part-Time,2022-08-25,3,48991,3.4,2,Inactive
194,EMP00194,Employee_00194,28,Female,Guntur,Admin,Executive,B.Sc,Contract,2022-06-23,3,53014,3.4,7,On Leave
195,EMP00195,Employee_00195,37,Male,Kochi,HR,Developer,MCA,Contract,2020-12-01,5,135112,3.6,5,Active
196,EMP00196,Employee_00196,38,Female,Bengaluru,Sales,Accountant,B.Tech,Contract,2026-06-03,0,57282,2.5,8,Inactive
197,EMP00197,Employee_00197,35,Male,Kolkata,Admin,Tester,M.Tech,Full-Time,2020-08-15,5,52588,3.5,7,Inactive
198,EMP00198,Employee_00198,21,Female,Delhi,HR,Developer,B.Tech,Part-Time,2022-11-08,3,75121,3.7,0,Active
199,EMP00199,Employee_00199,34,Female,Delhi,Support,Accountant,MBA,Part-Time,2023-03-21,2,65181,4.3,12,Active
200,EMP00200,Employee_00200,25,Female,Kolkata,Finance,Executive,B.Tech,Full-Time,2026-01-17,0,109165,2.4,8,Inactive
201,EMP00201,Employee_00201,42,Male,Vijayawada,Operations,Manager,B.Com,Full-Time,2025-03-11,0,129182,3.6,3,On Leave
202,EMP00202,Employee_00202,22,Male,Pune,HR,Analyst,MCA,Full-Time,2021-04-07,4,127901,3.8,0,Inactive
203,EMP00203,Employee_00203,28,Male,Hyderabad,Finance,Tester,B.Sc,Contract,2020-07-18,5,29596,3.2,3,On Leave
204,EMP00204,Employee_00204,39,Male,Guntur,Marketing,Tester,B.Tech,Contract,2023-07-30,2,102060,2.7,2,On Leave
205,EMP00205,Employee_00205,41,Female,Guntur,Operations,HR Executive,MBA,Full-Time,2021-12-18,4,129988,3.7,0,Inactive
206,EMP00206,Employee_00206,26,Female,Chennai,Admin,Developer,MCA,Part-Time,2024-03-21,1,142130,2.7,3,Inactive
