id,name,department,salary,join_date
353,Employee_353,Finance,92858,2026-01-13
354,Employee_354,Finance,45231,2025-04-07
355,Employee_355,Support,83295,2026-05-08
356,Employee_356,Support,51466,2025-06-14
357,Employee_357,HR,97398,2025-04-07
358,Employee_358,HR,87045,2025-07-16
359,Employee_359,HR,50454,2025-01-26
360,Employee_360,Sales,59414,2025-06-09
361,Employee_361,Sales,102376,2025-07-04
362,Employee_362,HR,101701,2025-03-24
363,Employee_363,IT,107147,2026-05-05
364,Employee_364,Finance,38050,2025-05-26
365,Employee_365,Sales,113706,2026-01-30
366,Employee_366,HR,92203,2025-05-12
367,Employee_367,Sales,117203,2025-10-30
368,Employee_368,HR,91292,2026-04-29
369,Employee_369,IT,74249,2025-12-15
370,Employee_370,Sales,91697,2025-04-30
371,Employee_371,Support,69970,2025-09-04
372,Employee_372,HR,49605,2025-10-19
373,Employee_373,Sales,88053,2026-01-19
374,Employee_374,Support,35378,2025-03-18
375,Employee_375,Support,86051,2026-01-20
376,Employee_376,Finance,25138,2026-01-04
377,Employee_377,Sales,73325,2026-02-25
378,Employee_378,IT,112379,2026-01-17
379,Employee_379,IT,66952,2025-10-19
380,Employee_380,IT,62763,2025-02-27
381,Employee_381,Support,26481,2025-09-07
382,Employee_382,Support,113923,2025-02-06
383,Employee_383,Finance,102133,2026-05-04
384,Employee_384,Support,45399,2025-12-25
385,Employee_385,HR,93795,2026-03-09
386,Employee_386,Sales,108924,2025-06-07
387,Employee_387,Sales,109400,2025-12-26
388,Employee_388,HR,53195,2026-01-02
389,Employee_389,HR,33350,2025-04-08
390,Employee_390,IT,49134,2025-05-10
391,Employee_391,Sales,94266,2025-12-17
392,Employee_392,IT,97384,2025-04-20
393,Employee_393,IT,85034,2026-03-10
394,Employee_394,IT,74142,2025-04-30
395,Employee_395,IT,45338,2026-02-02
396,Employee_396,Support,74744,2025-03-26
397,Employee_397,Sales,36953,2025-04-25
398,Employee_398,HR,41791,2026-01-10
399,Employee_399,Sales,52837,2025-10-16
400,Employee_400,HR,64527,2026-03-29
401,Employee_401,IT,30530,2026-03-29
402,Employee_402,Support,53646,2025-02-19
403,Employee_403,Support,67851,2025-08-12
404,Employee_404,HR,85678,2026-01-31
405,Employee_405,Support,60518,2025-01-01
406,Employee_406,Support,97353,2025-06-21
407,Employee_407,IT,49818,2025-02-07
408,Employee_408,Support,73507,2025-12-28
409,Employee_409,Finance,67090,2026-02-26
410,Employee_410,Sales,28887,2025-05-21
411,Employee_411,Finance,34764,2025-02-19
412,Employee_412,Finance,90512,2026-03-02
413,Employee_413,HR,101731,2025-10-01
414,Employee_414,IT,90085,2026-01-01
415,Employee_415,IT,28322,2026-02-07
416,Employee_416,HR,29384,2025-03-20
417,Employee_417,HR,31828,2025-07-12
418,Employee_418,Support,82602,2026-02-07
419,Employee_419,Finance,31163,2025-03-28
420,Employee_420,Finance,38927,2025-12-15
421,Employee_421,IT,76334,2026-05-14
422,Employee_422,Sales,38273,2025-05-17
423,Employee_423,HR,98096,2025-06-06
424,Employee_424,IT,70356,2025-06-20
425,Employee_425,IT,119959,2026-03-31
426,Employee_426,HR,62054,2025-07-25
427,Employee_427,HR,50741,2025-03-28
428,Employee_428,Sales,114182,2025-05-24
429,Employee_429,Finance,74658,2025-04-02
430,Employee_430,Sales,40360,2025-04-27
431,Employee_431,Sales,69136,2025-02-09
432,Employee_432,Support,28446,2025-11-23
433,Employee_433,Sales,48053,2026-05-05
434,Employee_434,Sales,26899,2025-08-16
435,Employee_435,Finance,45736,2025-01-15
436,Employee_436,IT,66333,2025-06-26
437,Employee_437,IT,108536,2026-04-23
438,Employee_438,Support,116088,2025-06-25
439,Employee_439,Finance,37267,2025-09-14
440,Employee_440,IT,78051,2026-04-01
441,Employee_441,Finance,84294,2025-06-01
442,Employee_442,HR,98334,2025-09-10
443,Employee_443,IT,35169,2025-01-14
444,Employee_444,IT,59277,2025-07-28
445,Employee_445,Support,64199,2025-10-17
446,Employee_446,Finance,111551,2025-09-10
447,Employee_447,HR,84169,2026-04-03
448,Employee_448,HR,112339,2025-08-15
449,Employee_449,Finance,57214,2026-03-30
450,Employee_450,Finance,89821,2025-12-01
451,Employee_451,HR,75841,2025-06-21
452,Employee_452,Support,27183,2026-01-01
453,Employee_453,HR,27040,2026-01-19
454,Employee_454,Sales,45768,2025-06-28
455,Employee_455,Finance,95721,2025-07-17
456,Employee_456,IT,78625,2026-01-19
457,Employee_457,IT,41309,2025-05-10
458,Employee_458,Sales,51905,2025-12-11
459,Employee_459,HR,48044,2025-08-23
460,Employee_460,Support,86034,2025-11-19
461,Employee_461,Finance,42429,2025-03-12
462,Employee_462,IT,69366,2025-11-30
463,Employee_463,HR,57568,2025-12-28
464,Employee_464,IT,103854,2025-06-22
465,Employee_465,IT,51885,2026-04-25
466,Employee_466,IT,32161,2025-01-31
467,Employee_467,IT,58758,2025-11-30
468,Employee_468,Sales,61407,2025-01-01
469,Employee_469,Support,81492,2025-08-14
470,Employee_470,IT,70932,2025-09-17
471,Employee_471,IT,86173,2026-05-15
472,Employee_472,HR,80131,2025-01-22
473,Employee_473,HR,108738,2025-10-16
474,Employee_474,Support,71360,2025-09-10
475,Employee_475,Sales,51242,2025-07-28
476,Employee_476,Finance,96737,2025-04-10
477,Employee_477,Finance,111329,2025-03-15
478,Employee_478,Finance,93681,2025-03-15
479,Employee_479,HR,96683,2026-05-14
480,Employee_480,Sales,85594,2025-01-03
481,Employee_481,Finance,52349,2025-08-23
482,Employee_482,Support,119235,2026-03-05
483,Employee_483,Sales,72276,2025-05-05
484,Employee_484,Support,25179,2025-10-19
485,Employee_485,Support,94497,2025-12-09
486,Employee_486,IT,39450,2026-04-05
487,Employee_487,Support,109448,2025-05-29
488,Employee_488,Support,70771,2025-06-06
489,Employee_489,Support,32865,2025-09-27
490,Employee_490,HR,104436,2025-02-25
491,Employee_491,IT,51621,2026-03-08
492,Employee_492,Support,112303,2025-02-20
493,Employee_493,IT,86656,2026-01-14
494,Employee_494,Support,64713,2025-10-12
495,Employee_495,Support,59858,2025-06-06
496,Employee_496,Finance,40551,2025-11-09
497,Employee_497,Support,87864,2025-04-10
498,Employee_498,Support,79562,2026-03-08
499,Employee_499,Sales,73646,2025-08-22
500,Employee_500,Finance,107433,2025-10-21
501,Employee_501,Sales,106304,2026-02-06
502,Employee_502,Support,67257,2025-10-16
503,Employee_503,Sales,56251,2025-01-26
504,Employee_504,HR,43949,2026-03-02
505,Employee_505,IT,25782,2025-09-18
506,Employee_506,HR,58942,2025-06-04
507,Employee_507,Sales,105101,2025-01-10
508,Employee_508,HR,87157,2025-12-13
509,Employee_509,IT,37834,2025-02-20
510,Employee_510,Finance,77801,2025-06-25
511,Employee_511,Finance,33953,2026-04-25
512,Employee_512,Sales,46696,2025-04-08
513,Employee_513,Support,26808,2025-01-27
514,Employee_514,Support,57591,2025-02-03
515,Employee_515,Sales,47992,2025-04-30
516,Employee_516,IT,108772,2026-04-24
517,Employee_517,HR,63767,2026-03-18
518,Employee_518,Finance,26624,2026-03-07
519,Employee_519,IT,65262,2025-10-17
520,Employee_520,Support,89156,2025-01-13
521,Employee_521,Finance,38299,2026-02-16
522,Employee_522,Finance,57069,2025-03-20
523,Employee_523,Support,71076,2026-01-04
524,Employee_524,Finance,77393,2025-02-22
525,Employee_525,HR,44636,2025-10-10
526,Employee_526,Sales,88088,2025-07-20
527,Employee_527,Sales,66519,2025-01-28
528,Employee_528,HR,74718,2025-08-17
529,Employee_529,Support,58320,2025-07-14
530,Employee_530,Sales,85130,2025-04-14
531,Employee_531,Support,87123,2025-11-20
532,Employee_532,IT,113579,2025-02-01
533,Employee_533,HR,55357,2025-04-08
534,Employee_534,Finance,99328,2026-01-04
535,Employee_535,IT,48390,2025-05-29
536,Employee_536,Support,50831,2026-03-16
537,Employee_537,Finance,37374,2025-08-16
538,Employee_538,Support,34353,2025-11-21
539,Employee_539,Sales,77942,2026-03-29
540,Employee_540,Support,39228,2025-07-22
541,Employee_541,Sales,102326,2026-01-25
542,Employee_542,Finance,75903,2025-05-28
543,Employee_543,Finance,63811,2025-01-15
544,Employee_544,Finance,34060,2026-03-26
545,Employee_545,Finance,57029,2025-04-21
546,Employee_546,IT,62844,2026-05-07
547,Employee_547,IT,106143,2025-05-12
548,Employee_548,IT,38567,2025-05-03
549,Employee_549,HR,41461,2025-12-30
550,Employee_550,Finance,110431,2026-04-13
551,Employee_551,Finance,95474,2025-07-01
552,Employee_552,Support,108635,2025-12-08
553,Employee_553,HR,110363,2025-04-29
554,Employee_554,IT,63425,2025-06-10
555,Employee_555,IT,75884,2025-05-08
556,Employee_556,Sales,97463,2025-06-11
557,Employee_557,IT,38583,2026-02-07
558,Employee_558,HR,35520,2025-02-20
559,Employee_559,IT,61697,2025-06-04
560,Employee_560,Sales,79464,2025-07-29
561,Employee_561,Support,90527,2025-03-10
562,Employee_562,Support,90643,2025-06-20
563,Employee_563,IT,111030,2026-04-06
564,Employee_564,HR,93975,2025-01-01
565,Employee_565,IT,117828,2025-02-03
566,Employee_566,Support,97240,2026-04-08
567,Employee_567,HR,87245,2025-11-03
568,Employee_568,IT,91848,2025-12-23
569,Employee_569,IT,114007,2025-02-09
570,Employee_570,Finance,97008,2026-01-27
571,Employee_571,IT,32472,2025-01-19
572,Employee_572,Support,98409,2025-06-27
573,Employee_573,IT,58815,2025-04-11
574,Employee_574,Support,53428,2025-12-23
575,Employee_575,Support,113879,2026-02-23
576,Employee_576,Finance,85240,2026-01-12
577,Employee_577,IT,43556,2026-04-24
578,Employee_578,IT,119191,2025-11-08
579,Employee_579,HR,56827,2026-02-26
580,Employee_580,IT,70798,2025-03-21
581,Employee_581,Support,79035,2026-01-24
582,Employee_582,IT,59008,2025-05-16
583,Employee_583,Support,112634,2025-03-02
584,Employee_584,IT,63919,2025-11-04
585,Employee_585,HR,114594,2025-06-12
586,Employee_586,IT,105117,2025-02-28
587,Employee_587,Sales,44975,2026-01-01
588,Employee_588,HR,66120,2026-01-10
589,Employee_589,Support,38611,2025-08-09
590,Employee_590,Sales,50022,2025-09-14
591,Employee_591,IT,101617,2025-07-09
592,Employee_592,Support,62423,2025-06-28
593,Employee_593,IT,104277,2025-06-05
594,Employee_594,Sales,31585,2026-04-18
595,Employee_595,HR,100575,2025-05-25
596,Employee_596,Finance,53101,2025-03-10
597,Employee_597,Sales,25929,2025-08-25
598,Employee_598,Support,43189,2026-04-19
599,Employee_599,Finance,69470,2025-09-24
600,Employee_600,Support,39210,2025-10-09
601,Employee_601,Support,76277,2025-08-06
602,Employee_602,Support,88682,2025-10-09
603,Employee_603,Finance,70671,2025-03-14
604,Employee_604,Support,72371,2025-03-09
605,Employee_605,HR,110985,2025-04-16
606,Employee_606,Finance,114742,2026-05-03
607,Employee_607,Sales,37412,2026-03-25
608,Employee_608,Finance,83047,2025-03-08
609,Employee_609,Finance,31986,2025-03-16
610,Employee_610,HR,71180,2025-04-21
611,Employee_611,HR,79728,2025-03-21
612,Employee_612,Sales,60033,2025-05-12
613,Employee_613,Sales,46306,2026-05-06
614,Employee_614,Support,99327,2025-07-13
615,Employee_615,Sales,53720,2025-07-28
616,Employee_616,IT,42894,2025-03-04
617,Employee_617,Support,35085,2025-04-03
618,Employee_618,Support,61099,2025-08-14
619,Employee_619,Sales,38569,2025-06-01
620,Employee_620,Sales,59595,2025-03-17
621,Employee_621,IT,28462,2025-03-03
622,Employee_622,IT,118726,2025-06-10
623,Employee_623,Support,93356,2025-12-04
624,Employee_624,Finance,49267,2025-07-20
625,Employee_625,Finance,44122,2025-11-12
626,Employee_626,HR,87365,2026-01-14
627,Employee_627,Finance,102158,2025-04-12
628,Employee_628,Sales,108284,2025-04-15
629,Employee_629,Sales,73637,2026-01-11
630,Employee_630,Finance,34154,2025-10-27
631,Employee_631,Finance,59073,2025-06-03
632,Employee_632,IT,50511,2025-09-27
633,Employee_633,HR,34754,2026-03-28
634,Employee_634,Finance,46857,2025-10-02
635,Employee_635,HR,66084,2025-05-02
636,Employee_636,Sales,91688,2025-05-01
637,Employee_637,IT,70854,2026-03-20
638,Employee_638,Finance,45622,2025-03-03
639,Employee_639,HR,48290,2026-03-20
640,Employee_640,Sales,49521,2026-02-03
641,Employee_641,Sales,36903,2025-03-08
642,Employee_642,Support,113873,2025-06-03
643,Employee_643,HR,92661,2026-03-31
644,Employee_644,Sales,43839,2026-04-06
645,Employee_645,Sales,71281,2025-01-10
646,Employee_646,Finance,29543,2025-10-01
647,Employee_647,Support,86311,2026-01-30
648,Employee_648,Finance,73333,2026-01-14
649,Employee_649,Support,36088,2025-03-23
650,Employee_650,HR,70249,2026-05-03
651,Employee_651,Support,115978,2025-01-31
652,Employee_652,Sales,42287,2025-03-11
653,Employee_653,Support,60485,2026-04-27
