order_id,customer_name,gender,age,city,state,product,category,quantity,unit_price,discount,total_amount,payment_method,order_date,salesperson
78,Yusuf,Male,58,Delhi,Delhi,Shoes,Fashion,3,3000,20,7200,NetBanking,2025-09-28,Arjun
79,Ravi,Male,29,Chennai,Tamil Nadu,Chair,Furniture,4,4500,15,15300,UPI,2025-06-13,Kiran
80,Ravi,Female,25,Hyderabad,Telangana,Rice,Grocery,4,1200,10,4320,Cash,2025-02-24,Yusuf
81,Anu,Female,33,Hyderabad,Telangana,Watch,Fashion,3,5000,15,12750,UPI,2025-08-29,Neha
82,Kiran,Female,32,Mumbai,Maharashtra,Shoes,Fashion,3,3000,0,9000,NetBanking,2025-12-03,Neha
83,Ahmed,Female,46,Chennai,Tamil Nadu,Phone,Electronics,1,25000,0,25000,UPI,2025-03-06,Ahmed
84,Arjun,Female,45,Chennai,Tamil Nadu,Rice,Grocery,3,1200,5,3420,UPI,2025-04-05,Arjun
85,Arjun,Male,40,Chennai,Tamil Nadu,TV,Electronics,4,42000,15,142800,Cash,2025-10-28,Sneha
86,Rahul,Female,51,Hyderabad,Telangana,Rice,Grocery,1,1200,10,1080,Card,2025-11-14,Ahmed
87,Ahmed,Female,53,Chennai,Tamil Nadu,Phone,Electronics,2,25000,5,47500,UPI,2025-09-25,Vijay
88,Diya,Male,60,Bengaluru,Karnataka,Rice,Grocery,5,1200,5,5700,NetBanking,2025-09-05,Arjun
89,Priya,Female,27,Pune,Maharashtra,Chair,Furniture,2,4500,10,8100,NetBanking,2025-06-18,Sneha
90,Divya,Female,46,Chennai,Tamil Nadu,TV,Electronics,1,42000,5,39900,Cash,2025-03-13,Divya
91,Ravi,Male,44,Hyderabad,Telangana,Phone,Electronics,2,25000,20,40000,Cash,2025-11-17,Vijay
92,Divya,Female,51,Delhi,Delhi,Watch,Fashion,3,5000,15,12750,NetBanking,2025-07-13,Vijay
93,Ravi,Male,18,Chennai,Tamil Nadu,TV,Electronics,2,42000,20,67200,NetBanking,2025-08-29,Diya
94,Neha,Male,25,Hyderabad,Telangana,Phone,Electronics,2,25000,0,50000,NetBanking,2025-05-21,Yusuf
95,Divya,Female,57,Chennai,Tamil Nadu,Watch,Fashion,1,5000,15,4250,NetBanking,2025-11-18,Ravi
96,Diya,Female,26,Bengaluru,Karnataka,Table,Furniture,1,7000,0,7000,NetBanking,2025-10-19,Neha
97,Ravi,Male,55,Delhi,Delhi,Shoes,Fashion,3,3000,0,9000,Card,2025-10-03,Diya
98,Priya,Male,27,Pune,Maharashtra,Shoes,Fashion,5,3000,15,12750,UPI,2025-12-30,Priya
99,Rahul,Male,48,Delhi,Delhi,Chair,Furniture,4,4500,0,18000,Card,2025-01-02,Sneha
100,Kiran,Female,20,Delhi,Delhi,Table,Furniture,3,7000,20,16800,UPI,2025-01-28,Aarav
101,Yusuf,Male,39,Delhi,Delhi,TV,Electronics,3,42000,5,119700,Card,2025-03-17,Meena
102,Ravi,Male,21,Pune,Maharashtra,Laptop,Electronics,2,55000,0,110000,NetBanking,2025-05-28,Kiran
103,Ravi,Male,28,Chennai,Tamil Nadu,Watch,Fashion,3,5000,0,15000,NetBanking,2025-03-12,Sneha
104,Divya,Female,48,Delhi,Delhi,Chair,Furniture,2,4500,10,8100,Card,2025-04-14,Arjun
105,Sneha,Male,50,Bengaluru,Karnataka,Watch,Fashion,1,5000,0,5000,NetBanking,2025-12-04,Ahmed
106,Ahmed,Male,32,Mumbai,Maharashtra,Laptop,Electronics,2,55000,20,88000,UPI,2025-01-16,Yusuf
107,Neha,Female,56,Delhi,Delhi,Phone,Electronics,5,25000,15,106250,NetBanking,2025-04-12,Yusuf
108,Divya,Female,57,Mumbai,Maharashtra,Watch,Fashion,2,5000,10,9000,Cash,2025-04-03,Vijay
109,Meena,Female,19,Chennai,Tamil Nadu,Watch,Fashion,3,5000,20,12000,NetBanking,2025-08-27,Sneha
110,Diya,Male,46,Bengaluru,Karnataka,Shoes,Fashion,1,3000,0,3000,UPI,2025-08-29,Meena
111,Arjun,Female,45,Bengaluru,Karnataka,TV,Electronics,1,42000,20,33600,Card,2025-01-14,Divya
112,Yusuf,Female,56,Mumbai,Maharashtra,Rice,Grocery,3,1200,15,3060,Card,2025-03-07,Yusuf
113,Arjun,Female,57,Mumbai,Maharashtra,Chair,Furniture,3,4500,20,10800,Cash,2025-10-12,Diya
114,Neha,Male,32,Chennai,Tamil Nadu,Laptop,Electronics,2,55000,0,110000,Card,2025-06-12,Diya
115,Meena,Female,26,Mumbai,Maharashtra,Laptop,Electronics,1,55000,5,52250,NetBanking,2025-04-09,Ahmed
116,Priya,Female,20,Bengaluru,Karnataka,Shoes,Fashion,4,3000,5,11400,Cash,2025-01-03,Kiran
117,Vijay,Female,60,Mumbai,Maharashtra,Shoes,Fashion,1,3000,5,2850,UPI,2025-06-07,Yusuf
118,Ahmed,Female,19,Pune,Maharashtra,TV,Electronics,2,42000,10,75600,Cash,2025-04-02,Arjun
119,Priya,Female,57,Bengaluru,Karnataka,Rice,Grocery,5,1200,10,5400,NetBanking,2025-08-09,Ahmed
120,Sneha,Male,21,Pune,Maharashtra,Watch,Fashion,1,5000,0,5000,UPI,2025-06-26,Meena
121,Neha,Male,32,Mumbai,Maharashtra,Shoes,Fashion,3,3000,20,7200,Card,2025-11-30,Priya
122,Ravi,Female,40,Pune,Maharashtra,Laptop,Electronics,3,55000,0,165000,NetBanking,2025-10-06,Diya
123,Divya,Female,20,Hyderabad,Telangana,Watch,Fashion,2,5000,0,10000,Card,2025-05-03,Neha
124,Anu,Female,31,Chennai,Tamil Nadu,Chair,Furniture,4,4500,10,16200,Cash,2025-07-09,Kiran
125,Aarav,Female,41,Chennai,Tamil Nadu,Laptop,Electronics,5,55000,0,275000,Cash,2025-11-02,Meena
126,Arjun,Male,30,Bengaluru,Karnataka,Chair,Furniture,2,4500,10,8100,Card,2025-07-05,Aarav
127,Sneha,Female,24,Mumbai,Maharashtra,Laptop,Electronics,1,55000,20,44000,Cash,2025-06-30,Yusuf
128,Vijay,Male,35,Chennai,Tamil Nadu,Table,Furniture,4,7000,5,26600,Cash,2025-07-24,Ravi
129,Arjun,Male,54,Bengaluru,Karnataka,Shoes,Fashion,2,3000,10,5400,Card,2025-03-31,Anu
130,Meena,Male,23,Pune,Maharashtra,Chair,Furniture,5,4500,10,20250,NetBanking,2025-06-16,Aarav
131,Aarav,Male,52,Mumbai,Maharashtra,TV,Electronics,3,42000,10,113400,NetBanking,2025-07-12,Yusuf
132,Divya,Male,47,Mumbai,Maharashtra,Phone,Electronics,3,25000,15,63750,Card,2025-05-16,Kiran
133,Aarav,Male,29,Chennai,Tamil Nadu,TV,Electronics,2,42000,5,79800,Card,2025-03-15,Kiran
134,Vijay,Male,29,Delhi,Delhi,Phone,Electronics,2,25000,20,40000,Cash,2025-05-23,Divya
135,Rahul,Male,58,Chennai,Tamil Nadu,Rice,Grocery,5,1200,0,6000,UPI,2025-07-09,Neha
136,Divya,Male,59,Bengaluru,Karnataka,Watch,Fashion,3,5000,0,15000,Card,2025-07-11,Rahul
137,Rahul,Female,57,Bengaluru,Karnataka,Chair,Furniture,5,4500,10,20250,NetBanking,2025-01-22,Meena
138,Diya,Male,37,Bengaluru,Karnataka,Chair,Furniture,2,4500,10,8100,UPI,2025-03-30,Kiran
139,Anu,Male,56,Delhi,Delhi,Chair,Furniture,1,4500,20,3600,Card,2025-02-10,Anu
140,Aarav,Female,46,Bengaluru,Karnataka,Rice,Grocery,5,1200,20,4800,NetBanking,2025-02-24,Aarav
141,Vijay,Male,27,Delhi,Delhi,Laptop,Electronics,3,55000,20,132000,Card,2025-09-06,Diya
142,Neha,Female,60,Chennai,Tamil Nadu,Rice,Grocery,3,1200,10,3240,Card,2025-10-24,Meena
143,Divya,Male,25,Pune,Maharashtra,Table,Furniture,4,7000,5,26600,Cash,2025-04-23,Ravi
144,Vijay,Male,24,Chennai,Tamil Nadu,TV,Electronics,5,42000,10,189000,NetBanking,2025-07-23,Yusuf
145,Yusuf,Female,29,Mumbai,Maharashtra,Rice,Grocery,3,1200,10,3240,UPI,2025-02-07,Ahmed
146,Yusuf,Male,36,Bengaluru,Karnataka,Watch,Fashion,4,5000,10,18000,Card,2025-12-08,Anu
147,Kiran,Male,19,Hyderabad,Telangana,Shoes,Fashion,2,3000,5,5700,NetBanking,2025-09-12,Yusuf
148,Anu,Male,41,Hyderabad,Telangana,TV,Electronics,4,42000,20,134400,Card,2025-12-25,Aarav
149,Divya,Female,53,Bengaluru,Karnataka,Laptop,Electronics,2,55000,20,88000,NetBanking,2025-12-10,Rahul
150,Sneha,Female,31,Chennai,Tamil Nadu,Shoes,Fashion,2,3000,10,5400,NetBanking,2025-09-03,Ahmed
151,Meena,Female,47,Pune,Maharashtra,Phone,Electronics,2,25000,0,50000,Cash,2025-09-02,Yusuf
152,Vijay,Male,26,Bengaluru,Karnataka,TV,Electronics,5,42000,5,199500,UPI,2025-08-17,Anu
153,Meena,Female,49,Chennai,Tamil Nadu,Phone,Electronics,5,25000,5,118750,NetBanking,2025-11-06,Kiran
154,Divya,Male,57,Bengaluru,Karnataka,Table,Furniture,3,7000,10,18900,UPI,2025-01-29,Priya
155,Ahmed,Female,37,Delhi,Delhi,Shoes,Fashion,1,3000,10,2700,Cash,2025-01-23,Diya
156,Ahmed,Female,39,Pune,Maharashtra,Watch,Fashion,1,5000,15,4250,UPI,2025-12-18,Arjun
157,Aarav,Male,26,Pune,Maharashtra,Table,Furniture,5,7000,15,29750,UPI,2025-12-31,Divya
158,Ravi,Male,44,Hyderabad,Telangana,Watch,Fashion,1,5000,15,4250,Cash,2025-04-18,Yusuf
159,Meena,Female,38,Mumbai,Maharashtra,Table,Furniture,5,7000,20,28000,UPI,2025-07-04,Kiran
160,Ahmed,Female,40,Pune,Maharashtra,Table,Furniture,4,7000,5,26600,Cash,2025-03-22,Sneha
161,Arjun,Female,49,Mumbai,Maharashtra,TV,Electronics,4,42000,15,142800,UPI,2025-08-15,Priya
162,Anu,Female,19,Chennai,Tamil Nadu,Laptop,Electronics,2,55000,20,88000,UPI,2025-03-22,Aarav
163,Divya,Male,35,Mumbai,Maharashtra,Watch,Fashion,3,5000,20,12000,NetBanking,2025-03-23,Vijay
164,Kiran,Male,30,Pune,Maharashtra,Rice,Grocery,4,1200,5,4560,NetBanking,2025-07-20,Anu
165,Rahul,Female,26,Chennai,Tamil Nadu,Watch,Fashion,2,5000,0,10000,NetBanking,2025-04-27,Divya
166,Priya,Female,33,Pune,Maharashtra,Phone,Electronics,1,25000,20,20000,NetBanking,2025-07-04,Ravi
167,Priya,Female,55,Pune,Maharashtra,Shoes,Fashion,1,3000,20,2400,NetBanking,2025-03-04,Ravi
168,Priya,Male,56,Pune,Maharashtra,Rice,Grocery,4,1200,10,4320,Cash,2025-07-26,Neha
169,Priya,Female,45,Delhi,Delhi,Rice,Grocery,4,1200,10,4320,UPI,2025-04-06,Arjun
170,Neha,Male,51,Delhi,Delhi,Chair,Furniture,5,4500,20,18000,UPI,2025-11-07,Yusuf
171,Ahmed,Male,43,Delhi,Delhi,Table,Furniture,5,7000,5,33250,Cash,2025-01-10,Diya
172,Vijay,Male,44,Bengaluru,Karnataka,Phone,Electronics,5,25000,0,125000,NetBanking,2025-01-09,Anu
173,Aarav,Female,39,Hyderabad,Telangana,Chair,Furniture,2,4500,5,8550,Card,2025-08-05,Sneha
174,Priya,Female,58,Delhi,Delhi,Phone,Electronics,1,25000,10,22500,Card,2025-11-29,Vijay
175,Aarav,Female,39,Bengaluru,Karnataka,Table,Furniture,3,7000,5,19950,UPI,2025-05-27,Ahmed
176,Sneha,Male,24,Mumbai,Maharashtra,TV,Electronics,3,42000,5,119700,Cash,2025-10-10,Aarav
177,Yusuf,Female,44,Bengaluru,Karnataka,Chair,Furniture,5,4500,0,22500,Cash,2025-09-11,Ahmed
178,Ravi,Female,18,Pune,Maharashtra,Chair,Furniture,3,4500,0,13500,Card,2025-12-09,Arjun
179,Priya,Female,33,Pune,Maharashtra,Watch,Fashion,5,5000,20,20000,NetBanking,2025-11-29,Yusuf
180,Meena,Male,60,Chennai,Tamil Nadu,TV,Electronics,5,42000,0,210000,Cash,2025-07-25,Arjun
181,Sneha,Male,55,Pune,Maharashtra,Chair,Furniture,1,4500,15,3825,Cash,2025-05-24,Divya
182,Arjun,Female,49,Pune,Maharashtra,Shoes,Fashion,3,3000,15,7650,UPI,2025-11-03,Ravi
183,Rahul,Female,51,Chennai,Tamil Nadu,Table,Furniture,1,7000,20,5600,NetBanking,2025-04-07,Aarav
184,Yusuf,Female,36,Bengaluru,Karnataka,Rice,Grocery,5,1200,5,5700,UPI,2025-03-20,Vijay
185,Meena,Female,45,Delhi,Delhi,Laptop,Electronics,4,55000,0,220000,Card,2025-03-30,Yusuf
186,Divya,Male,27,Chennai,Tamil Nadu,Rice,Grocery,1,1200,15,1020,UPI,2025-06-25,Rahul
187,Priya,Male,29,Pune,Maharashtra,Laptop,Electronics,1,55000,15,46750,NetBanking,2025-08-02,Priya
188,Divya,Male,55,Bengaluru,Karnataka,TV,Electronics,2,42000,10,75600,UPI,2025-07-03,Anu
189,Meena,Female,36,Bengaluru,Karnataka,Watch,Fashion,2,5000,20,8000,Cash,2025-12-25,Aarav
190,Yusuf,Female,31,Bengaluru,Karnataka,Watch,Fashion,1,5000,10,4500,NetBanking,2025-01-08,Sneha
191,Ravi,Male,36,Hyderabad,Telangana,TV,Electronics,4,42000,5,159600,Card,2025-02-27,Yusuf
192,Neha,Male,53,Mumbai,Maharashtra,Table,Furniture,4,7000,0,28000,Cash,2025-10-07,Ahmed
193,Arjun,Male,34,Pune,Maharashtra,Watch,Fashion,4,5000,15,17000,Card,2025-03-26,Diya
194,Divya,Female,33,Delhi,Delhi,TV,Electronics,5,42000,0,210000,UPI,2025-02-04,Yusuf
195,Sneha,Female,43,Pune,Maharashtra,Phone,Electronics,3,25000,15,63750,NetBanking,2025-03-14,Ravi
196,Meena,Female,46,Mumbai,Maharashtra,Table,Furniture,2,7000,10,12600,Cash,2025-06-16,Kiran
197,Ravi,Female,24,Pune,Maharashtra,Shoes,Fashion,5,3000,5,14250,NetBanking,2025-03-27,Yusuf
198,Priya,Female,29,Chennai,Tamil Nadu,TV,Electronics,4,42000,5,159600,UPI,2025-01-01,Diya
199,Priya,Male,37,Delhi,Delhi,Rice,Grocery,1,1200,0,1200,Card,2025-05-15,Ahmed
200,Anu,Female,20,Mumbai,Maharashtra,Table,Furniture,2,7000,0,14000,UPI,2025-02-10,Rahul
201,Neha,Female,38,Delhi,Delhi,Shoes,Fashion,2,3000,0,6000,NetBanking,2025-11-08,Diya
202,Meena,Female,24,Hyderabad,Telangana,TV,Electronics,2,42000,20,67200,Card,2025-07-03,Sneha
203,Neha,Male,20,Delhi,Delhi,Phone,Electronics,3,25000,20,60000,NetBanking,2025-11-24,Neha
204,Diya,Male,36,Chennai,Tamil Nadu,Chair,Furniture,2,4500,0,9000,Card,2025-05-13,Rahul
205,Diya,Female,28,Hyderabad,Telangana,Shoes,Fashion,5,3000,20,12000,Cash,2025-05-20,Neha
206,Sneha,Female,45,Mumbai,Maharashtra,Watch,Fashion,2,5000,20,8000,Card,2025-05-25,Sneha
207,Kiran,Female,47,Bengaluru,Karnataka,Table,Furniture,2,7000,10,12600,UPI,2025-12-10,Arjun
208,Yusuf,Male,33,Bengaluru,Karnataka,Laptop,Electronics,4,55000,10,198000,UPI,2025-09-09,Sneha
209,Neha,Male,48,Mumbai,Maharashtra,TV,Electronics,2,42000,0,84000,Cash,2025-09-21,Arjun
210,Yusuf,Male,44,Hyderabad,Telangana,Rice,Grocery,4,1200,20,3840,UPI,2025-07-07,Neha
211,Yusuf,Male,27,Pune,Maharashtra,Table,Furniture,5,7000,20,28000,UPI,2025-12-14,Priya
212,Divya,Male,53,Hyderabad,Telangana,Rice,Grocery,3,1200,0,3600,NetBanking,2025-10-26,Meena
213,Rahul,Female,50,Bengaluru,Karnataka,Chair,Furniture,2,4500,15,7650,UPI,2025-03-27,Ahmed
214,Yusuf,Female,23,Hyderabad,Telangana,Chair,Furniture,5,4500,5,21375,NetBanking,2025-12-16,Aarav
215,Divya,Male,51,Delhi,Delhi,TV,Electronics,4,42000,0,168000,UPI,2025-02-07,Kiran
216,Divya,Female,58,Delhi,Delhi,Watch,Fashion,4,5000,10,18000,NetBanking,2025-01-14,Diya
217,Neha,Female,26,Chennai,Tamil Nadu,Rice,Grocery,5,1200,5,5700,UPI,2025-04-02,Ravi
218,Vijay,Female,20,Bengaluru,Karnataka,Table,Furniture,2,7000,5,13300,NetBanking,2025-01-13,Kiran
219,Priya,Male,41,Pune,Maharashtra,TV,Electronics,4,42000,15,142800,Cash,2025-05-24,Sneha
220,Sneha,Female,39,Delhi,Delhi,TV,Electronics,1,42000,5,39900,NetBanking,2025-04-06,Ravi
221,Kiran,Male,31,Chennai,Tamil Nadu,Rice,Grocery,1,1200,15,1020,Cash,2025-03-20,Arjun
222,Aarav,Male,48,Delhi,Delhi,TV,Electronics,1,42000,5,39900,UPI,2025-08-09,Sneha
223,Diya,Male,50,Mumbai,Maharashtra,Chair,Furniture,4,4500,0,18000,Card,2025-02-27,Meena
224,Sneha,Male,38,Hyderabad,Telangana,Laptop,Electronics,3,55000,5,156750,Card,2025-02-01,Vijay
225,Neha,Female,37,Hyderabad,Telangana,TV,Electronics,5,42000,20,168000,Cash,2025-02-28,Aarav
226,Diya,Female,18,Chennai,Tamil Nadu,Laptop,Electronics,3,55000,15,140250,NetBanking,2025-10-01,Ravi
227,Diya,Male,20,Pune,Maharashtra,Phone,Electronics,5,25000,0,125000,NetBanking,2025-05-06,Diya
228,Ahmed,Male,53,Mumbai,Maharashtra,Laptop,Electronics,3,55000,20,132000,UPI,2025-04-02,Rahul
229,Ahmed,Female,54,Bengaluru,Karnataka,Rice,Grocery,1,1200,5,1140,NetBanking,2025-09-27,Diya
230,Arjun,Male,29,Hyderabad,Telangana,Watch,Fashion,1,5000,5,4750,Card,2025-01-30,Yusuf
231,Neha,Female,23,Hyderabad,Telangana,Laptop,Electronics,2,55000,20,88000,Card,2025-09-02,Arjun
232,Arjun,Female,21,Bengaluru,Karnataka,Chair,Furniture,5,4500,10,20250,NetBanking,2025-12-01,Diya
233,Vijay,Male,52,Pune,Maharashtra,Rice,Grocery,5,1200,10,5400,Card,2025-03-18,Vijay
234,Sneha,Female,37,Delhi,Delhi,Rice,Grocery,4,1200,5,4560,Card,2025-09-04,Sneha
